Tweet id,Fecha de Publicación,Tweet,Retweets,Favoritos
759080107621380097,Fri Jul 29 17:36:15 +0000 2016,Actos de reconciliación como este nos impulsan a seguir adelante. Foro #HaciaElFinDelConflicto https://t.co/QUEMuHHZMp,97,86
759069147426877441,Fri Jul 29 16:52:42 +0000 2016,"Se pactó en la Mesa, de manera expresa, q ninguna de las partes designará magistrados de manera directa HCalle  #HaciaElFinDelConflicto",22,15
759065423535083520,Fri Jul 29 16:37:54 +0000 2016,Lo pactado es q Farc y todos los victimarios deben reparar. Esto no son amnistías sin condiciones: HCalle en Foro #HaciaElFinDelConflicto,30,22
759064746796654592,Fri Jul 29 16:35:13 +0000 2016,"""Quien tiene una tierra ilegalmente adquirida, de mala fe, el Estado tiene que recuperarla: HCalle en foro #HaciaElFinDelConflicto",10,8
759062737968361472,Fri Jul 29 16:27:14 +0000 2016,"""Los que conocemos de violencia y dolor podemos hablar de paz y perdón"" AOvalle @AlcaldiaPaz #HaciaElFinDelConflicto https://t.co/C95LKCayRk",84,55
759049746535157761,Fri Jul 29 15:35:36 +0000 2016,"UN MITO | A la firma del acuerdo: ¿Se debilitará la Fuerza Pública? ¡FALSO! Habla el Gral. (r) Óscar Naranjo.
https://t.co/xLJ0apngm6",31,16
758805105567084545,Thu Jul 28 23:23:29 +0000 2016,El plebiscito debe ser el punto de reencuentro de todos los colombianos: HCalle | Leer ? https://t.co/NsOGbzqR3J https://t.co/Yklpk92Ab8,82,66
758699719761731584,Thu Jul 28 16:24:43 +0000 2016,Gran oportunidad estar con P Conservador haciendo PEDAGOGÍA y aclarando dudas.Listos para reunión con demás partidos https://t.co/Wx9vg3WxPQ,31,36
758679620434718720,Thu Jul 28 15:04:51 +0000 2016,"""Hoy Equipo Negociador inicia maratón de PEDAGOGÍA sobre lo acordado en La Habana"": Humberto de la Calle https://t.co/MRJz3RqXmp",78,69
758406904553017344,Wed Jul 27 21:01:11 +0000 2016,"Después de todo lo logrado en la Mesa, el reto mayor no está en La Habana, sino en Colombia? https://t.co/IeYdsXMzwH https://t.co/veN8mtsIXk",57,40
758355416719974401,Wed Jul 27 17:36:35 +0000 2016,"""El fin del conflicto: un nuevo comienzo para la igualdad de género"" María P. Riveros |Leer? https://t.co/Lin4QEuyvm https://t.co/tQowKpv3Rb",6,7
758315559041634304,Wed Jul 27 14:58:12 +0000 2016,"Una condición necesaria para construir paz es dar bienestar a quienes habitan el campo |Ver? https://t.co/cH7XO1IBj2
https://t.co/ICaZslB0xc",32,28
757945002790035456,Tue Jul 26 14:25:45 +0000 2016,"UN MITO |¿ En La Habana se está negociando el modelo de libre empresa y de mercado? ¡FALSO! | Habla Gonzalo Restrepo
https://t.co/TMn0hW14pi",32,25
757911788352638976,Tue Jul 26 12:13:46 +0000 2016,Directora Ejecutiva @ONUMujeres @phumzileunwomen destaca trabajo de la Subcomisión de Género en los acuerdos de paz https://t.co/veZDie9vs0,28,26
757721328556318720,Mon Jul 25 23:36:57 +0000 2016,"""Mecanismo de Subcomisión de Género puede servir de inspiración para solución de conflictos en el mundo"" @ZainabHawa https://t.co/syHORJMFQt",82,59
757632858739572736,Mon Jul 25 17:45:24 +0000 2016,La mujer ha sido el vórtice en el q se ha concentrado con mayor intensidad el dolor | Leer? https://t.co/4OiwXLLB0A https://t.co/Tr2czb4JXl,31,28
757588870926131200,Mon Jul 25 14:50:36 +0000 2016,"""La creación de la Subcomisión de Género es un mecanismo sin precedentes"" @ZainabHawa | Ver? https://t.co/DDPj4I5P69 https://t.co/qgCvByyNzI",33,31
757586162676563968,Mon Jul 25 14:39:51 +0000 2016,"""Las voces de las mujeres han sido la voz de la razón. Son la base para mantener la paz"" ? https://t.co/kKAo3jQ5LF https://t.co/2Sv2kGzydh",34,27
757549822186442753,Mon Jul 25 12:15:26 +0000 2016,El trabajo de la Subcomisión de Género es una de las grandes innovaciones en los acuerdos ? https://t.co/GGQ6y75VAw https://t.co/HPH4hzr9hI,37,23
757323505847402496,Sun Jul 24 21:16:08 +0000 2016,Humberto de la Calle habla sobre la inclusión del enfoque de género en los acuerdos de paz | Ver video ? https://t.co/qwcCeEAics,43,32
757280761326276608,Sun Jul 24 18:26:17 +0000 2016,"""Es inédita la inclusión de un enfoque de género en acuerdos de paz"": María Paulina Riveros, @EquipoPazGob | Ver ? https://t.co/nHnKNaLwZL",24,25
757261685526757376,Sun Jul 24 17:10:29 +0000 2016,ABC - PREGUNTAS Y RESPUESTAS | Sobre la inclusión del enfoque de género en acuerdos | Ver ? https://t.co/DDPj4I5P69 https://t.co/8pc4n2v5ca,61,38
757251326979940354,Sun Jul 24 16:29:20 +0000 2016,COMUNICADO CONJUNTO | LA HABANA | Inclusión de enfoque de género en acuerdos de paz | Ver ? https://t.co/kKAo3jyun5 https://t.co/iYHzYPoqs0,86,63
757242066313281536,Sun Jul 24 15:52:32 +0000 2016,El conflicto se ha ensañado con las mujeres. El compromiso de las mujeres con la construcción de paz es la esperanza: Humberto de la Calle,41,42
757240296782561285,Sun Jul 24 15:45:30 +0000 2016,"""El resultado del trabajo de la Subcomisión de Género es una innovación en los acuerdos de paz en el mundo"": Humberto de la Calle",27,32
757239577912418304,Sun Jul 24 15:42:38 +0000 2016,El enfoque de género en los acuerdos es una conquista cuya validez irradia valores a la Mesa de Conversaciones: Humberto de la Calle,50,60
757238370829529090,Sun Jul 24 15:37:51 +0000 2016,La experiencia de Colombia puede servir de inspiración para otros. ONU continuará brindando todo el apoyo que podamos: @ZainabHawa,13,17
757235104481701888,Sun Jul 24 15:24:52 +0000 2016,"""El trabajo de la Subcomisión de Género en la Mesa de Conversaciones es inédito"" @phumzileunwomen @ONUMujeres @UN_Women @ONUMujeresCol",15,18
757233482720567296,Sun Jul 24 15:18:25 +0000 2016,"""Las voces de las mujeres han sido la voz de la razón. Son la base para mantener la paz"": @phumzileunwomen @ONUMujeres @UN_Women",41,36
757232775938318336,Sun Jul 24 15:15:37 +0000 2016,"""Incluir la visión de las mujeres en los acuerdos de paz es un paso muy importante para la reconciliación"": @phumzileunwomen  @ONUMujeres",27,28
757231630331314176,Sun Jul 24 15:11:04 +0000 2016,"""La presentación de un enfoque de género en los acuerdos de paz es un momento histórico"": Phumzile Mlambo-Ngcuka  @ONUMujeresCol",45,36
